Start Date,End Date,Approving,Disapproving,Unsure/NoData
1/16/17,1/19/2017,59,37,4
1/9/17,1/15/2017,57,39,4
1/2/17,1/8/2017,55,42,3
12/26/16,1/1/2017,55,40,5
12/19/16,12/25/2016,56,40,4
12/12/16,12/18/2016,56,40,4
12/5/16,12/11/2016,57,40,3
11/28/16,12/4/2016,54,43,3
11/21/16,11/27/2016,56,40,4
11/14/16,11/20/2016,56,41,3
11/7/16,11/13/2016,57,41,2
10/31/16,11/6/2016,53,45,2
10/24/16,10/30/2016,54,44,2
10/17/16,10/23/2016,55,42,3
10/10/16,10/16/2016,54,43,3
10/3/16,10/9/2016,52,45,3
9/26/16,10/2/2016,53,44,3
9/19/16,9/25/2016,53,43,4
9/12/16,9/18/2016,52,44,4
9/5/16,9/11/2016,51,45,4
8/29/16,9/4/2016,52,44,4
8/22/16,8/28/2016,51,45,4
8/15/16,8/21/2016,51,44,5
8/8/16,8/14/2016,52,44,4
8/1/16,8/7/2016,52,45,3
7/25/16,7/31/2016,53,44,3
7/18/16,7/24/2016,49,47,4
7/11/16,7/17/2016,49,46,5
7/4/16,7/10/2016,51,45,4
6/27/16,7/3/2016,51,45,4
6/20/16,6/26/2016,50,46,4
6/13/16,6/19/2016,53,44,3
6/6/16,6/12/2016,53,43,4
5/30/16,6/5/2016,51,44,5
5/23/16,5/29/2016,52,44,4
5/16/16,5/22/2016,51,45,4
5/9/16,5/15/2016,51,45,4
5/2/16,5/8/2016,52,44,4
4/25/16,5/1/2016,51,46,3
4/18/16,4/24/2016,51,45,4
4/11/16,4/17/2016,48,47,5
4/4/16,4/10/2016,51,45,4
3/28/16,4/3/2016,51,45,4
3/21/16,3/27/2016,53,44,3
3/14/16,3/20/2016,50,46,4
3/7/16,3/13/2016,51,45,4
2/29/16,3/6/2016,50,46,4
2/22/16,2/28/2016,48,47,5
2/15/16,2/21/2016,48,48,4
2/8/16,2/14/2016,48,48,4
2/1/16,2/7/2016,47,50,3
1/25/16,1/31/2016,48,48,4
1/18/16,1/24/2016,48,47,5
1/11/16,1/17/2016,48,47,5
1/4/16,1/10/2016,47,49,4
12/28/15,1/3/2016,45,52,3
12/21/15,12/27/2015,48,49,3
12/14/15,12/20/2015,45,51,4
12/7/15,12/13/2015,45,50,5
11/30/15,12/6/2015,47,49,4
11/23/15,11/29/2015,46,49,5
11/16/15,11/22/2015,44,52,4
11/9/15,11/15/2015,49,47,4
11/2/15,11/8/2015,49,48,3
10/26/15,11/1/2015,47,49,4
10/19/15,10/25/2015,46,50,4
10/12/15,10/18/2015,46,50,4
10/5/15,10/11/2015,46,50,4
9/28/15,10/4/2015,47,49,4
9/21/15,9/27/2015,48,49,3
9/14/15,9/20/2015,46,51,3
9/7/15,9/13/2015,46,49,5
8/31/15,9/6/2015,46,50,4
8/24/15,8/30/2015,46,50,4
8/17/15,8/23/2015,44,51,5
8/10/15,8/16/2015,46,49,5
8/3/15,8/9/2015,46,50,4
7/27/15,8/2/2015,46,49,5
7/20/15,7/26/2015,46,50,4
7/13/15,7/19/2015,46,48,6
7/6/15,7/12/2015,46,49,5
6/29/15,7/5/2015,46,49,5
6/22/15,6/28/2015,47,49,4
6/15/15,6/21/2015,45,50,5
6/8/15,6/14/2015,45,49,6
6/1/15,6/7/2015,46,49,5
5/25/15,5/31/2015,47,49,4
5/18/15,5/24/2015,46,49,5
5/11/15,5/17/2015,47,49,4
5/4/15,5/10/2015,47,48,5
4/27/15,5/3/2015,48,48,4
4/20/15,4/26/2015,45,49,6
4/13/15,4/19/2015,46,50,4
4/6/15,4/12/2015,48,48,4
3/30/15,4/5/2015,47,48,5
3/23/15,3/29/2015,46,49,5
3/16/15,3/22/2015,45,50,5
3/9/15,3/15/2015,47,48,5
3/2/15,3/8/2015,46,49,5
2/23/15,3/1/2015,45,50,5
2/16/15,2/22/2015,46,49,5
2/9/15,2/15/2015,47,48,5
2/2/15,2/8/2015,46,49,5
1/26/15,2/1/2015,47,48,5
