Start Date,End Date,Approving,Disapproving,Unsure/NoData
12/1/20,12/17/20,39.00,57.00,4
11/5/20,11/19/20,43.00,55.00,2
10/16/20,10/27/20,46.00,52.00,2
9/30/20,10/15/20,43.00,55.00,2
9/14/20,9/28/20,46.00,52.00,2
8/31/20,9/13/20,42.00,56.00,2
7/30/20,8/12/20,42.00,55.00,3
7/1/20,7/23/20,41.00,56.00,3
6/8/20,6/30/20,38.00,57.00,5
5/28/20,6/4/20,39.00,57.00,4
5/1/20,5/13/20,49.00,48.00,3
4/14/20,4/28/20,49.00,47.00,4
4/1/20,4/14/20,43.00,54.00,3
3/13/20,3/22/20,49.00,45.00,6
3/2/20,3/13/20,44.00,52.00,4
2/17/20,2/28/20,47.00,51.00,2
2/3/20,2/16/20,49.00,48.00,3
1/16/20,1/29/20,49.00,50.00,1
1/2/20,1/15/20,44.00,53.00,3
12/2/19,12/15/19,45.00,51.00,4
11/1/19,11/14/19,43.00,54.00,3
10/14/19,10/31/19,41.00,57.00,2
10/1/19,10/13/19,39.00,57.00,4
9/16/19,9/30/19,40.00,56.00,4
9/3/19,9/15/19,43.00,54.00,3
8/15/19,8/30/19,39.00,57.00,4
8/1/19,8/14/19,41.00,54.00,5
7/15/19,7/31/19,42.00,54.00,4
7/1/19,7/12/19,44.00,51.00,5
6/19/19,6/30/19,41.00,54.00,5
6/3/19,6/16/19,43.00,55.00,2
5/15/19,5/30/19,40.00,55.00,5
5/1/19,5/12/19,42.00,52.00,6
4/17/19,4/30/19,46.00,50.00,4
4/1/19,4/9/19,45.00,51.00,4
3/1/19,3/10/19,39.00,57.00,4
2/12/19,2/28/19,43.00,54.00,3
2/1/19,2/10/19,44.00,52.00,4
1/21/19,1/27/19,37.00,59.00,4
1/2/19,1/10/19,37.00,59.00,4
12/17/18,12/22/18,39.00,55.00,6
12/10/18,12/16/18,38.00,57.00,5
12/3/18,12/9/18,40.00,56.00,4
11/26/18,12/2/18,40.00,56.00,4
11/19/18,11/25/18,38.00,60.00,2
11/12/18,11/18/18,43.00,53.00,4
11/5/18,11/11/18,38.00,56.00,6
10/29/18,11/4/18,40.00,54.00,6
10/22/18,10/28/18,40.00,54.00,6
10/15/18,10/21/18,44.00,50.00,6
10/8/18,10/14/18,44.00,51.00,5
10/1/18,10/7/18,43.00,53.00,4
9/24/18,9/30/18,42.00,53.00,5
9/17/18,9/23/18,40.00,56.00,4
9/10/18,9/16/18,38.00,56.00,6
9/3/18,9/9/18,40.00,54.00,6
8/27/18,9/2/18,41.00,53.00,6
8/20/18,8/26/18,41.00,54.00,5
8/13/18,8/19/18,42.00,52.00,6
8/6/18,8/12/18,39.00,56.00,5
7/30/18,8/5/18,41.00,54.00,5
7/23/18,7/29/18,40.00,55.00,5
7/16/18,7/22/18,42.00,54.00,4
7/9/18,7/15/18,43.00,52.00,5
7/2/18,7/8/18,41.00,56.00,3
6/25/18,7/1/18,42.00,53.00,5
6/18/18,6/24/18,41.00,55.00,4
6/11/18,6/17/18,45.00,50.00,5
6/4/18,6/10/18,42.00,54.00,4
5/28/18,6/3/18,41.00,55.00,4
5/21/18,5/27/18,40.00,55.00,5
5/14/18,5/20/18,42.00,54.00,4
5/7/18,5/13/18,43.00,52.00,5
4/30/18,5/6/18,42.00,52.00,6
4/23/18,4/29/18,42.00,53.00,5
4/16/18,4/22/18,39.00,55.00,6
4/9/18,4/15/18,39.00,55.00,6
4/2/18,4/8/18,41.00,54.00,5
3/26/18,4/1/18,39.00,56.00,5
3/19/18,3/25/18,39.00,55.00,6
3/12/18,3/18/18,40.00,56.00,4
3/5/18,3/11/18,39.00,56.00,5
2/26/18,3/4/18,39.00,55.00,6
2/19/18,2/25/18,39.00,56.00,5
2/12/18,2/18/18,37.00,59.00,4
2/5/18,2/11/18,40.00,57.00,3
1/29/18,2/4/18,40.00,57.00,3
1/21/18,1/28/18,38.00,58.00,4
1/15/18,1/21/18,36.00,59.00,5
1/8/18,1/14/18,38.00,57.00,5
1/1/18,1/7/18,37.00,58.00,5
12/25/17,12/31/17,39.00,55.00,6
12/18/17,12/24/17,37.00,57.00,6
12/11/17,12/17/17,35.00,60.00,5
12/4/17,12/10/17,36.00,59.00,5
11/27/17,12/3/17,35.00,59.00,6
11/20/17,11/26/17,37.00,56.00,7
11/13/17,11/19/17,38.00,57.00,5
11/6/17,11/12/17,38.00,56.00,6
10/30/17,11/5/17,38.00,58.00,4
10/23/17,10/29/17,35.00,60.00,5
10/16/17,10/22/17,36.00,58.00,6
10/9/17,10/15/17,37.00,57.00,6
10/2/17,10/8/17,38.00,56.00,6
9/25/17,10/1/17,37.00,58.00,5
9/18/17,9/24/17,38.00,55.00,7
9/11/17,9/17/17,38.00,57.00,5
9/4/17,9/10/17,37.00,57.00,6
8/28/17,9/3/17,36.00,59.00,5
8/21/17,8/27/17,35.00,60.00,5
8/14/17,8/20/17,37.00,58.00,5
8/7/17,8/13/17,36.00,58.00,6
7/31/17,8/6/17,37.00,58.00,5
7/24/17,7/30/17,38.00,57.00,5
7/17/17,7/23/17,37.00,58.00,5
7/10/17,7/16/17,39.00,56.00,5
7/3/17,7/9/17,38.00,57.00,5
6/26/17,7/2/17,39.00,56.00,5
6/19/17,6/25/17,39.00,56.00,5
6/12/17,6/18/17,38.00,57.00,5
6/5/17,6/11/17,37.00,58.00,5
5/29/17,6/4/17,38.00,56.00,6
5/22/17,5/28/17,41.00,54.00,5
5/15/17,5/21/17,38.00,56.00,6
5/8/17,5/14/17,38.00,56.00,6
5/1/17,5/7/17,42.00,53.00,5
4/24/17,4/30/17,41.00,54.00,5
4/17/17,4/23/17,41.00,52.00,7
4/10/17,4/16/17,40.00,54.00,6
4/3/17,4/9/17,40.00,53.00,7
3/27/17,4/2/17,38.00,57.00,5
3/20/17,3/26/17,39.00,56.00,5
3/13/17,3/19/17,40.00,55.00,5
3/6/17,3/12/17,42.00,52.00,6
2/27/17,3/5/17,43.00,51.00,6
2/20/17,2/26/17,42.00,53.00,5
2/13/17,2/19/17,40.00,54.00,6
2/6/17,2/12/17,41.00,53.00,6
1/30/17,2/5/17,43.00,52.00,5
1/20/17,1/29/17,45.00,47.00,8
