Start Date,End Date,Approving,Disapproving,Unsure/NoData
12/10/1976,12/13/1976,53,32,15
06/11/1976,06/14/1976,45,40,15
05/20/1976,05/23/1976,47,38,15
04/09/1976,04/12/1976,48,41,11
03/19/1976,03/22/1976,50,36,14
02/27/1976,03/01/1976,48,38,14
01/30/1976,02/02/1976,46,40,14
01/23/1976,01/26/1976,45,45,10
1/2/1976,1/5/1976,46,42,12
12/12/1975,12/15/1975,39,46,15
12/05/1975,12/08/1975,46,37,17
11/21/1975,11/24/1975,41,46,13
10/31/1975,11/3/1975,44,44,12
10/17/1975,10/20/1975,47,40,13
10/03/1975,10/06/1975,47,37,16
09/12/1975,09/15/1975,45,38,17
08/15/1975,08/18/1975,46,37,17
08/01/1975,08/04/1975,45,37,18
06/27/1975,06/30/1975,52,33,15
05/30/1975,06/02/1975,51,33,16
05/02/1975,05/05/1975,40,43,17
04/18/1975,04/21/1975,39,46,15
04/04/1975,04/07/1975,44,37,19
03/28/1975,03/31/1975,37,43,20
03/07/1975,03/10/1975,38,45,17
02/28/1975,03/02/1975,39,45,16
01/28/1975,02/03/1975,39,43,18
01/10/1975,01/13/1975,37,39,24
12/06/1974,12/09/1974,42,41,17
11/15/1974,11/18/1974,48,32,20
11/08/1974,11/11/1974,47,33,20
10/18/1974,10/21/1974,54,28,18
10/11/1974,10/14/1974,52,29,19
09/27/1974,09/30/1974,50,28,22
09/06/1974,09/09/1974,66,13,21
08/16/1974,08/19/1974,71,3,26
