Start Date,End Date,Approving,Disapproving,Unsure/NoData
12/05/1980,12/08/1980,34,55,11
11/21/1980,11/24/1980,31,56,13
09/12/1980,09/15/1980,37,55,8
08/15/1980,08/18/1980,32,55,13
07/11/1980,07/14/1980,33,55,12
06/27/1980,06/30/1980,31,58,11
06/13/1980,06/16/1980,32,56,12
05/30/1980,06/02/1980,38,52,10
05/16/1980,05/19/1980,38,51,11
05/02/1980,05/05/1980,43,47,10
04/11/1980,04/14/1980,39,50,11
03/27/1980,03/30/1980,39,51,10
03/07/1980,03/10/1980,43,45,12
02/29/1980,03/03/1980,52,38,10
02/01/1980,02/04/1980,55,36,9
01/25/1980,01/28/1980,58,32,10
01/05/1980,01/08/1980,56,33,11
12/07/1979,12/10/1979,54,35,11
11/30/1979,12/3/1979,51,37,12
11/16/1979,11/19/1979,38,49,13
11/2/1979,11/5/1979,32,55,13
10/12/1979,10/15/1979,31,55,14
10/05/1979,10/08/1979,29,58,13
09/28/1979,10/01/1979,33,54,13
09/07/1979,09/10/1979,30,55,15
08/17/1979,08/20/1979,32,54,14
08/10/1979,08/13/1979,33,55,12
08/03/1979,08/06/1979,32,53,15
07/13/1979,07/16/1979,29,58,13
06/29/1979,07/02/1979,28,59,13
06/22/1979,06/25/1979,29,57,14
06/01/1979,06/04/1979,29,56,15
05/18/1979,05/21/1979,32,53,15
05/04/1979,05/07/1979,37,49,14
04/06/1979,04/09/1979,40,46,14
03/23/1979,03/31/1979,42,44,14
03/16/1979,03/19/1979,47,39,14
03/02/1979,03/05/1979,39,48,13
02/23/1979,02/26/1979,37,46,17
02/02/1979,02/05/1979,42,42,16
01/19/1979,01/22/1979,43,41,16
01/05/1979,01/08/1979,50,36,14
12/08/1978,12/11/1978,51,34,15
12/01/1978,12/04/1978,50,34,16
11/10/1978,11/13/1978,52,36,12
10/27/1978,10/30/1978,49,36,15
09/22/1978,09/25/1978,48,34,18
09/15/1978,09/18/1978,45,40,15
09/08/1978,09/11/1978,42,42,16
08/18/1978,08/21/1978,43,41,16
08/11/1978,08/14/1978,40,43,17
08/04/1978,08/07/1978,39,44,17
07/21/1978,07/24/1978,39,44,17
07/08/1978,07/10/1978,40,41,19
06/16/1978,06/19/1978,42,42,16
06/02/1978,06/05/1978,44,41,15
05/19/1978,05/22/1978,43,43,14
05/05/1978,05/08/1978,41,43,16
04/28/1978,05/01/1978,41,42,17
04/14/1978,04/17/1978,40,44,16
03/31/1978,04/03/1978,48,39,13
03/10/1978,03/13/1978,50,35,15
03/02/1978,03/05/1978,49,33,18
02/24/1978,02/27/1978,50,33,17
02/11/1978,02/14/1978,47,34,19
01/20/1978,01/23/1978,52,28,20
01/06/1978,01/09/1978,55,27,18
12/09/1977,12/12/1977,57,27,16
11/18/1977,11/21/1977,56,30,14
11/04/1977,11/07/1977,55,30,15
10/28/1977,10/31/1977,51,31,18
10/21/1977,10/24/1977,54,30,16
10/14/1977,10/17/1977,55,29,16
09/30/1977,10/03/1977,59,24,17
09/09/1977,09/12/1977,54,29,17
08/19/1977,08/22/1977,66,16,18
08/05/1977,08/08/1977,60,23,17
07/22/1977,07/25/1977,67,17,16
07/08/1977,07/11/1977,62,22,16
06/17/1977,06/20/1977,63,18,19
06/03/1977,06/06/1977,63,19,18
05/20/1977,05/23/1977,64,19,17
05/06/1977,05/09/1977,66,19,15
04/29/1977,05/02/1977,63,18,19
04/15/1977,04/18/1977,63,18,19
04/01/1977,04/04/1977,67,14,19
03/25/1977,03/28/1977,72,10,18
03/18/1977,03/21/1977,75,9,16
03/04/1977,03/07/1977,70,9,21
02/18/1977,02/21/1977,71,9,20
02/04/1977,02/07/1977,66,8,26
