Start Date,End Date,Approving,Disapproving,Unsure/NoData
01/01/1969,01/06/1969,49,37,14
12/05/1968,12/10/1968,44,43,13
11/09/1968,11/14/1968,43,44,13
09/19/1968,09/24/1968,42,51,7
08/07/1968,08/12/1968,35,52,13
07/18/1968,07/23/1968,40,47,13
06/26/1968,07/01/1968,40,47,13
06/13/1968,06/18/1968,42,45,13
05/23/1968,05/23/1968,41,45,14
05/02/1968,05/07/1968,46,43,11
04/04/1968,04/09/1968,50,38,12
03/10/1968,03/15/1968,36,52,12
02/22/1968,02/27/1968,41,48,11
02/02/1968,02/07/1968,41,47,12
01/04/1968,1/9/1968,48,39,13
12/7/1967,12/12/1967,46,41,13
11/16/1967,11/21/1967,42,46,12
10/27/1967,11/1/1967,41,49,10
10/06/1967,10/11/1967,38,50,12
09/14/1967,09/19/1967,38,48,14
08/24/1967,08/29/1967,39,48,13
08/03/1967,08/08/1967,40,48,12
07/13/1967,07/18/1967,47,39,14
06/22/1967,06/27/1967,51,35,14
06/02/1967,06/07/1967,44,40,16
05/11/1967,05/16/1967,45,39,16
04/19/1967,04/24/1967,48,37,15
03/30/1967,04/04/1967,46,38,16
03/09/1967,03/14/1967,45,41,14
02/16/1967,02/21/1967,45,42,13
01/26/1967,01/31/1967,46,37,17
01/07/1967,1/12/1967,47,37,16
12/8/1966,12/13/1966,44,47,9
11/10/1966,11/15/1966,49,35,16
10/21/1966,10/26/1966,44,41,15
10/01/1966,10/06/1966,44,42,14
09/08/1966,09/13/1966,46,39,15
08/18/1966,08/23/1966,47,39,14
07/29/1966,08/03/1966,51,38,11
07/08/1966,07/13/1966,56,30,14
06/16/1966,06/21/1966,48,39,13
05/19/1966,05/24/1966,50,33,17
05/05/1966,05/10/1966,46,34,20
04/14/1966,04/19/1966,54,33,13
03/24/1966,03/29/1966,57,28,15
03/03/1966,03/08/1966,58,28,14
2/10/1966,02/15/1966,56,34,10
1/21/1966,1/26/1966,61,27,12
12/31/1965,1/5/1966,59,24,17
12/11/1965,12/16/1965,63,26,11
11/18/1965,11/23/1965,62,22,16
10/29/1965,11/02/1965,65,22,13
10/08/1965,10/13/1965,66,21,13
09/16/1965,09/21/1965,63,24,13
08/27/1965,09/01/1965,64,25,11
08/05/1965,08/10/1965,65,22,13
07/16/1965,07/21/1965,65,20,15
06/24/1965,06/29/1965,65,21,14
06/04/1965,06/09/1965,69,19,12
05/13/1965,05/18/1965,70,18,12
04/23/1965,04/28/1965,64,22,14
04/02/1965,04/07/1965,67,22,11
03/18/1965,03/23/1965,69,21,10
03/11/1965,03/16/1965,68,18,14
2/19/1965,2/24/1965,68,18,14
01/28/1965,02/02/1965,70,15,15
01/07/1965,01/12/1965,71,15,14
12/11/1964,12/16/1964,69,18,13
11/20/1964,11/25/1964,70,19,11
06/25/1964,06/30/1964,74,15,11
06/11/1964,06/16/1964,74,14,12
06/04/1964,06/09/1964,74,12,14
05/22/1964,05/27/1964,74,13,13
05/06/1964,05/11/1964,75,10,15
04/24/1964,04/29/1964,75,11,14
03/27/1964,04/01/1964,75,12,13
03/13/1964,03/18/1964,77,9,14
2/28/1964,3/4/1964,79,9,12
02/13/1964,2/18/1964,73,9,18
1/30/1964,2/5/1964,76,8,16
1/2/1964,1/7/1964,77,5,18
12/12/1963,12/17/1963,74,4,22
12/5/1963,12/10/1963,78,2,20
