Start Date,End Date,Approving,Disapproving,Unsure/NoData
08/02/1974,08/05/1974,24,66,10
07/12/1974,07/15/1974,24,63,13
06/28/1974,07/01/1974,28,58,14
06/21/1974,06/24/1974,26,61,13
05/31/1974,06/03/1974,28,61,11
05/17/1974,05/20/1974,26,61,13
05/10/1974,05/13/1974,25,61,14
05/03/1974,05/06/1974,25,58,17
04/19/1974,04/22/1974,26,60,14
04/12/1974,04/15/1974,25,62,13
03/29/1974,04/01/1974,26,65,9
03/08/1974,03/11/1974,26,62,12
02/22/1974,02/25/1974,25,64,11
02/08/1974,02/11/1974,27,63,10
02/01/1974,02/04/1974,28,59,13
01/18/1974,01/21/1974,26,64,10
01/04/1974,01/07/1974,27,63,10
12/07/1973,12/10/1973,29,60,11
11/30/1973,12/3/1973,31,59,10
11/2/1973,11/5/1973,27,63,10
10/19/1973,10/22/1973,27,60,13
10/05/1973,10/08/1973,30,57,13
09/21/1973,09/24/1973,33,59,8
09/07/1973,09/10/1973,34,56,10
08/17/1973,08/20/1973,36,54,10
08/03/1973,08/06/1973,31,58,11
07/06/1973,07/09/1973,39,49,12
06/22/1973,06/25/1973,44,45,11
06/01/1973,06/04/1973,44,44,12
05/11/1973,05/14/1973,44,45,11
05/04/1973,05/07/1973,45,42,13
04/27/1973,04/29/1973,48,40,12
04/06/1973,04/09/1973,54,36,10
03/30/1973,04/02/1973,57,34,9
02/16/1973,02/19/1973,65,25,10
01/26/1973,01/29/1973,67,25,8
01/12/1973,01/15/1973,51,37,12
12/08/1972,12/11/1972,59,30,11
11/11/1972,11/14/1972,62,28,10
06/23/1972,06/26/1972,56,33,11
06/16/1972,06/19/1972,59,30,11
05/26/1972,05/29/1972,62,30,8
04/28/1972,05/01/1972,54,37,9
03/24/1972,03/27/1972,53,36,11
03/03/1972,03/05/1972,56,32,12
02/04/1972,02/07/1972,52,37,11
1/7/1972,1/10/1972,49,39,12
12/10/1971,12/13/1971,50,37,13
10/29/1971,11/2/1971,49,37,14
10/08/1971,10/11/1971,52,38,10
08/27/1971,08/30/1971,49,38,13
07/15/1971,07/18/1971,50,37,13
06/25/1971,06/28/1971,48,39,13
06/04/1971,06/07/1971,48,37,15
05/14/1971,05/17/1971,50,35,15
04/23/1971,04/26/1971,50,38,12
04/02/1971,04/05/1971,49,38,13
03/11/1971,03/14/1971,50,37,13
02/19/1971,02/22/1971,49,37,14
01/08/1971,01/11/1971,56,33,11
12/03/1970,12/08/1970,52,34,14
11/12/1970,11/17/1970,57,30,13
10/09/1970,10/14/1970,58,27,15
09/25/1970,09/28/1970,51,31,18
09/11/1970,09/14/1970,57,30,13
08/25/1970,09/01/1970,55,31,14
07/31/1970,08/02/1970,55,32,13
07/09/1970,07/14/1970,61,28,11
06/18/1970,06/23/1970,55,31,14
05/21/1970,05/26/1970,59,29,12
04/29/1970,05/03/1970,57,32,11
04/16/1970,04/21/1970,56,31,13
03/18/1970,03/25/1970,54,34,12
02/27/1970,03/02/1970,56,27,17
01/30/1970,02/02/1970,64,24,12
01/15/1970,01/20/1970,63,23,14
01/02/1970,01/05/1970,61,22,17
12/12/1969,12/15/1969,59,23,18
11/12/1969,11/17/1969,67,19,14
10/17/1969,10/22/1969,56,29,15
10/2/1969,10/7/1969,57,24,19
9/17/1969,9/22/1969,58,23,19
09/11/1969,09/16/1969,60,24,16
08/14/1969,08/19/1969,62,20,18
07/24/1969,07/29/1969,65,17,18
07/10/1969,07/15/1969,58,22,20
06/19/1969,06/24/1969,63,16,21
05/22/1969,05/27/1969,62,15,23
05/15/1969,05/20/1969,65,12,23
05/01/1969,05/06/1969,62,15,23
04/10/1969,04/15/1969,61,12,27
03/27/1969,04/01/1969,63,10,27
03/12/1969,03/17/1969,65,9,26
02/20/1969,02/25/1969,60,6,34
01/23/1969,01/28/1969,59,5,36
